Gaunt[{l1, m1}, {l2, m2}, {l3, m3}] == 
  (Sqrt[(1 + 2 l1) (1 + 2 l2) (1 + 2 l3)] 
     HaromJSymbol[{l1, 0}, {l2, 0}, {l3, 0}] 
     HaromJSymbol[{l1, m1}, {l2, m2}, {l3, m3}]) / (2 Sqrt[Pi])
ooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
Gaunt[{0, 0}, {0, 0}, {0, 0}] == 0.282095
Gaunt[{0, 0}, {1, -1}, {1, 1}] == -0.282095
Gaunt[{0, 0}, {1, 0}, {1, 0}] == 0.282095
Gaunt[{0, 0}, {1, 1}, {1, -1}] == -0.282095
Gaunt[{0, 0}, {2, -2}, {2, 2}] == 0.282095
Gaunt[{0, 0}, {2, -1}, {2, 1}] == -0.282095
Gaunt[{0, 0}, {2, 0}, {2, 0}] == 0.282095
Gaunt[{0, 0}, {2, 1}, {2, -1}] == -0.282095
Gaunt[{0, 0}, {2, 2}, {2, -2}] == 0.282095
Gaunt[{0, 0}, {3, -3}, {3, 3}] == -0.282095
Gaunt[{0, 0}, {3, -2}, {3, 2}] == 0.282095
Gaunt[{0, 0}, {3, -1}, {3, 1}] == -0.282095
Gaunt[{0, 0}, {3, 0}, {3, 0}] == 0.282095
Gaunt[{0, 0}, {3, 1}, {3, -1}] == -0.282095
Gaunt[{0, 0}, {3, 2}, {3, -2}] == 0.282095
Gaunt[{0, 0}, {3, 3}, {3, -3}] == -0.282095
Gaunt[{0, 0}, {4, -4}, {4, 4}] == 0.282095
Gaunt[{0, 0}, {4, -3}, {4, 3}] == -0.282095
Gaunt[{0, 0}, {4, -2}, {4, 2}] == 0.282095
Gaunt[{0, 0}, {4, -1}, {4, 1}] == -0.282095
Gaunt[{0, 0}, {4, 0}, {4, 0}] == 0.282095
Gaunt[{0, 0}, {4, 1}, {4, -1}] == -0.282095
Gaunt[{0, 0}, {4, 2}, {4, -2}] == 0.282095
Gaunt[{0, 0}, {4, 3}, {4, -3}] == -0.282095
Gaunt[{0, 0}, {4, 4}, {4, -4}] == 0.282095
Gaunt[{0, 0}, {5, -5}, {5, 5}] == -0.282095
Gaunt[{0, 0}, {5, -4}, {5, 4}] == 0.282095
Gaunt[{0, 0}, {5, -3}, {5, 3}] == -0.282095
Gaunt[{0, 0}, {5, -2}, {5, 2}] == 0.282095
Gaunt[{0, 0}, {5, -1}, {5, 1}] == -0.282095
Gaunt[{0, 0}, {5, 0}, {5, 0}] == 0.282095
Gaunt[{0, 0}, {5, 1}, {5, -1}] == -0.282095
Gaunt[{0, 0}, {5, 2}, {5, -2}] == 0.282095
Gaunt[{0, 0}, {5, 3}, {5, -3}] == -0.282095
Gaunt[{0, 0}, {5, 4}, {5, -4}] == 0.282095
Gaunt[{0, 0}, {5, 5}, {5, -5}] == -0.282095
Gaunt[{0, 0}, {6, -6}, {6, 6}] == 0.282095
Gaunt[{0, 0}, {6, -5}, {6, 5}] == -0.282095
Gaunt[{0, 0}, {6, -4}, {6, 4}] == 0.282095
Gaunt[{0, 0}, {6, -3}, {6, 3}] == -0.282095
Gaunt[{0, 0}, {6, -2}, {6, 2}] == 0.282095
